Fickett Score,GC content,CpG Islands,Transcript Length,ORF Length,ORF Ratio,Relative Codon Bias,Isoelectric Potential,Aromaticity,coding/noncoding
0.41850000000000004,0.34205607476635513,3,1070,102,102,0.3144841343283338,9.500077247619632,0.11235955056179775,0
0.44239999999999996,0.4079460801702732,12,2819,171,171,0.3151786204424736,9.791861152648924,0.0926517571884984,0
0.3758,0.36990595611285265,8,2233,123,123,0.32988358232039916,10.066754341125485,0.10349462365591397,0
0.3568,0.38674750974447814,8,2309,171,171,0.31551011458744416,8.789764595031738,0.11833550065019506,0
0.5301,0.412,2,250,174,174,0.6806396851369163,9.186180686950681,0.08536585365853658,0
0.37590000000000007,0.37433155080213903,1,2057,276,276,0.31094432626248825,8.627562141418458,0.10072992700729927,0
0.37590000000000007,0.3881142098273572,20,3012,255,255,0.24212356029632742,9.234403038024901,0.10258964143426294,0
0.36150000000000004,0.39889536667689474,13,3259,231,231,0.3529214589469907,9.399055290222169,0.10405156537753223,0
0.343,0.36474908200734396,5,1634,342,342,0.33582688060733434,9.468036460876466,0.13996316758747698,0
0.37310000000000004,0.4257762654189706,11,2351,207,207,0.28353547216879504,8.947905540466309,0.12899106002554278,0
0.4642,0.441400304414003,7,657,174,174,0.4325515546705512,9.384614372253417,0.091324200913242,0
0.4597,0.4794215795328142,13,899,183,183,0.5647766739156639,10.22831211090088,0.06020066889632107,0
0.4772,0.4022911051212938,5,1484,288,288,0.32588549042257187,9.252389717102048,0.11336032388663969,0
0.486,0.47984441301272984,78,2828,141,141,0.28948392189742767,9.316664695739746,0.09766454352441614,0
0.6038,0.4842105263157895,16,475,63,63,0.5005622810220163,11.321115684509277,0.0759493670886076,0
0.4474000000000001,0.37468445726649835,10,2773,201,201,0.29467139083922356,9.026685905456542,0.1105092091007584,0
0.3706,0.4217391304347826,15,1150,156,156,0.45997820779662946,9.577439308166504,0.1122715404699739,0
0.41890000000000005,0.4240875912408759,24,1370,231,231,0.31067539569839764,8.897813606262208,0.10087719298245613,0
0.4901,0.42484248424842486,4,1111,198,198,0.43339482413874175,10.259643745422363,0.10270270270270271,0
0.40159999999999996,0.44449648711943796,13,2135,207,207,0.4191780197350208,10.068108177185056,0.11533052039381153,0
0.4108,0.4246979865771812,15,3725,243,243,0.281942491478512,8.672174263000489,0.09024979854955681,0
0.4521,0.44361562088635365,10,2279,297,297,0.39939226675559003,9.54952449798584,0.08168642951251646,0
0.4521,0.3617125984251969,4,2032,369,369,0.2860493841689953,9.790894126892088,0.0930576070901034,0
0.37720000000000004,0.36853807670928296,10,1799,306,306,0.2857063161436437,9.796889686584471,0.09682804674457429,0
0.4834,0.5100775193798449,35,1290,246,246,0.41869849498201317,9.060854148864745,0.07209302325581396,0
0.3775,0.4355195283714075,140,5428,369,369,0.2827520932061285,9.661892890930176,0.11000552791597568,0
0.7307,0.6295399515738499,26,413,102,102,0.5336429391588131,10.356217384338379,0.06569343065693431,0
0.6205,0.737151248164464,86,681,369,369,0.39393279743086107,11.999967765808105,0.035398230088495575,0
0.4135,0.4065180102915952,21,2915,315,315,0.2933834152562771,8.672432136535647,0.101956745623069,0
0.5783,0.5697674418604651,36,602,444,444,0.4424270581953529,9.970825386047363,0.06,0
0.40700000000000003,0.3753723932472691,24,4028,249,249,0.29108500807871107,9.12461338043213,0.13859910581222057,0
